ID,City,Area,Name,Cuisine,Category,Meal Tags,Breakfast,Lunch,Dinner,Cafe/Dessert,Michelin,Tabelog Research,GF Confidence,Lactose-Free Confidence,Price,Reservation,Must Order / Experience,Notes,Priority,Status,Favorite,Reservation Status,Opening Hours Check,Open Early,Google Maps Link,Tabelog Link,Michelin Source,Official / Booking Link,Last Checked,Dietary Note
TO-001,Tokyo,Akasaka,FARO,Italian / Japanese,Italian / Japanese,"Lunch,Dinner",No,Yes,Yes,No,1★ / MICHELIN Guide,Tabelog candidate,Advance request required,Advance request required,¥¥¥¥,Required,Vegetable-forward tasting menu,Strong fine-dining candidate for dietary requests.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=FARO+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=FARO,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-002,Tokyo,Minami-Aoyama,NARISAWA,Innovative Japanese,Innovative Japanese,"Lunch,Dinner",No,Yes,Yes,No,2★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Satoyama-inspired tasting menu,Only book after written dietary confirmation.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=NARISAWA+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=NARISAWA,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-003,Tokyo,Ginza,L'Effervescence,French / Japanese,French / Japanese,"Lunch,Dinner",No,Yes,Yes,No,3★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Chef's tasting menu,High-end; restrictions must be disclosed at booking.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=L%27Effervescence+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=L%27Effervescence,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-004,Tokyo,Marunouchi,SÉZANNE,French,French,"Lunch,Dinner",No,Yes,Yes,No,3★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Tasting menu,Luxury option; dairy commonly appears in French cuisine.,Bucket list,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=S%C3%89ZANNE+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=S%C3%89ZANNE,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-005,Tokyo,Azabudai,Florilège,Contemporary,Contemporary,"Lunch,Dinner",No,Yes,Yes,No,2★ / MICHELIN Guide,Tabelog highly rated,Confirm before booking,Confirm before booking,¥¥¥¥,Required,Counter tasting menu,Creative menu; ask about soy sauce and butter.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Floril%C3%A8ge+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Floril%C3%A8ge,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-006,Tokyo,Asakusa,Onigiri Asakusa Yadoroku,Onigiri,Rice / Breakfast,"Breakfast,Lunch",Yes,Yes,No,No,Bib Gourmand / MICHELIN Guide,Tabelog popular,Good candidate; verify fillings and soy,Usually easy; verify fillings,¥,Queue,Onigiri set,Excellent simple rice-based breakfast/lunch candidate.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Onigiri+Asakusa+Yadoroku+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Onigiri+Asakusa+Yadoroku,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-007,Tokyo,Roppongi,Gluten Free T's Kitchen,Gluten-free Japanese,GF Specialist,"Lunch,Dinner",No,Yes,Yes,No,—,Tabelog GF specialist,GF-focused restaurant,Many lactose-free options; confirm dish,¥¥,Recommended,"Okonomiyaki, ramen, karaage",One of the strongest practical dietary anchors.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Gluten+Free+T%27s+Kitchen+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Gluten+Free+T%27s+Kitchen,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-008,Tokyo,Shibuya,Where is a Dog?,Gluten-free cafe,GF Specialist,"Breakfast,Lunch,Cafe,Dessert",Yes,Yes,No,Yes,—,Tabelog GF candidate,GF-focused; verify current menu,Good options; verify,¥¥,No/varies,Pancakes / café plate,Useful breakfast and café option.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Where+is+a+Dog%3F+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Where+is+a+Dog%3F,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-009,Tokyo,Kichijoji,Little Bird,Gluten-free cafe,GF Specialist,"Breakfast,Lunch,Cafe,Dessert",Yes,Yes,No,Yes,—,Tabelog GF candidate,GF-focused; verify current menu,Good options; verify,¥¥,No/varies,Rice-flour sweets / lunch plate,Good pairing with Ghibli/Kichijoji day.,Top pick,Research,No,Not booked,Verify live,Yes,https://www.google.com/maps/search/?api=1&query=Little+Bird+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Little+Bird,,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
TO-010,Tokyo,Ginza,Sushi Kanesaka,Sushi,Sushi,"Lunch,Dinner",No,Yes,Yes,No,MICHELIN Guide selection,Tabelog highly rated,Confirm GF soy sauce and seasoning,Naturally low dairy,¥¥¥¥,Required,Edomae omakase,Sushi can work well if wheat-containing soy/marinades are addressed.,Top pick,Research,No,Not booked,Verify live,No,https://www.google.com/maps/search/?api=1&query=Sushi+Kanesaka+Tokyo+Japan,https://tabelog.com/en/rstLst/?sk=Sushi+Kanesaka,https://guide.michelin.com/us/en/tokyo-region/tokyo/restaurants,,2026-07-23,Gluten-free and lactose-free accommodation must be reconfirmed directly; cross-contact is not assumed safe.
